index,time,abs_correlation_sum,correlation_sum_threshold,threshold_metric,metric_input,template,snr
44,2016-09-02T06:56:46.078400Z,3.07589626312,2.89526033401,MAD,8.0,1970_01_01t00_00_17,4.78939361702
45,2016-09-03T14:50:58.518400Z,2.94480514526,2.85964608192,MAD,8.0,1970_01_01t00_00_17,5.18340311553
46,2016-09-04T09:53:25.748400Z,2.97850990295,2.85954403877,MAD,8.0,1970_01_01t00_00_17,4.53172246214
47,2016-09-04T10:02:34.818400Z,2.91282582283,2.85954403877,MAD,8.0,1970_01_01t00_00_17,4.97337976099
48,2016-09-04T14:48:17.498400Z,2.98479819298,2.85954403877,MAD,8.0,1970_01_01t00_00_17,3.7278238817
49,2016-09-05T06:04:45.708400Z,2.9386973381,2.79765558243,MAD,8.0,1970_01_01t00_00_17,3.57153474212
50,2016-09-06T13:07:15.678400Z,2.86962890625,2.84712219238,MAD,8.0,1970_01_01t00_00_17,3.43090619699
51,2016-09-07T02:07:59.948400Z,2.85350728035,2.75912094116,MAD,8.0,1970_01_01t00_00_17,3.51348025465
52,2016-09-07T07:45:41.088400Z,2.8047645092,2.75912094116,MAD,8.0,1970_01_01t00_00_17,3.34494287073
53,2016-09-07T09:11:19.638400Z,2.77121210098,2.75912094116,MAD,8.0,1970_01_01t00_00_17,3.51238696821
54,2016-09-08T06:46:55.958400Z,2.84661698341,2.7957983017,MAD,8.0,1970_01_01t00_00_17,4.00534573612
55,2016-09-08T08:00:54.128400Z,3.142993927,2.7957983017,MAD,8.0,1970_01_01t00_00_17,3.1438776362
56,2016-09-10T00:47:37.208400Z,2.92369294167,2.67160606384,MAD,8.0,1970_01_01t00_00_17,3.73010639183
57,2016-09-10T03:36:18.318400Z,2.68699264526,2.67160606384,MAD,8.0,1970_01_01t00_00_17,3.01495078144
58,2016-09-11T06:02:47.838400Z,3.082914114,2.83975791931,MAD,8.0,1970_01_01t00_00_17,5.13880060046
59,2016-09-11T08:30:55.848400Z,2.96145749092,2.83975791931,MAD,8.0,1970_01_01t00_00_17,3.54104186984
60,2016-09-17T08:56:17.698400Z,2.93904519081,2.88651537895,MAD,8.0,1970_01_01t00_00_17,4.44050574211
61,2016-09-19T10:37:46.488400Z,2.95262265205,2.81278038025,MAD,8.0,1970_01_01t00_00_17,3.09728259803
62,2016-09-20T05:15:53.788400Z,3.1049952507,2.79760837555,MAD,8.0,1970_01_01t00_00_17,3.74386137183
63,2016-09-20T06:03:38.688400Z,2.82479977608,2.79760837555,MAD,8.0,1970_01_01t00_00_17,4.12670307631
64,2016-09-20T12:23:57.508400Z,2.93632626534,2.79760837555,MAD,8.0,1970_01_01t00_00_17,3.83241633311
65,2016-09-21T08:52:48.858400Z,2.7278418541,2.55195379257,MAD,8.0,1970_01_01t00_00_17,3.89132027195
66,2016-09-21T11:09:23.018400Z,2.73797655106,2.55195379257,MAD,8.0,1970_01_01t00_00_17,4.70105985424
67,2016-09-22T05:16:43.568400Z,2.62187719345,2.62155008316,MAD,8.0,1970_01_01t00_00_17,2.94714875912
68,2016-09-22T11:05:21.778400Z,2.64691257477,2.62155008316,MAD,8.0,1970_01_01t00_00_17,3.95024773568
69,2016-09-22T11:06:58.918400Z,2.90130209923,2.62155008316,MAD,8.0,1970_01_01t00_00_17,3.37889659036
70,2016-09-22T13:57:49.888400Z,2.87337350845,2.62155008316,MAD,8.0,1970_01_01t00_00_17,3.7161434099
71,2016-09-22T15:31:59.818400Z,2.75378322601,2.62155008316,MAD,8.0,1970_01_01t00_00_17,3.31021573366
72,2016-09-24T12:40:57.448400Z,2.83027029037,2.80299186707,MAD,8.0,1970_01_01t00_00_17,2.86475131789
73,2016-09-24T14:23:51.948400Z,2.80841588974,2.80299186707,MAD,8.0,1970_01_01t00_00_17,3.99384216128
74,2016-09-26T02:55:09.638400Z,3.62076377869,3.04504346848,MAD,8.0,1970_01_01t00_00_17,3.57355054177
75,2016-09-26T02:57:03.858400Z,5.17946529388,3.04504346848,MAD,8.0,1970_01_01t00_00_17,4.11097664353
76,2016-09-26T02:57:13.048400Z,3.86515140533,3.04504346848,MAD,8.0,1970_01_01t00_00_17,4.20319316317
77,2016-09-26T02:57:32.458400Z,3.52983427048,3.04504346848,MAD,8.0,1970_01_01t00_00_17,4.24342610656
78,2016-09-26T03:03:23.098400Z,3.56580424309,3.04504346848,MAD,8.0,1970_01_01t00_00_17,3.62449579568
79,2016-09-26T03:03:53.928400Z,3.42361593246,3.04504346848,MAD,8.0,1970_01_01t00_00_17,3.37900237484
80,2016-09-26T03:05:38.398400Z,5.45478916168,3.04504346848,MAD,8.0,1970_01_01t00_00_17,6.43676588102
81,2016-09-26T03:06:43.178400Z,3.86918711662,3.04504346848,MAD,8.0,1970_01_01t00_00_17,4.08826132507
