18        46.5263541000      -120.4654901000    694380.4460859967   5155652.6625852603      1416.6798378788
19        46.5258508000      -120.4649927000    694420.3888379969   5155597.9656545585      1388.8275625196
49        46.5240460000      -120.4619496000    694660.2194981792   5155404.9344060868      1326.5678643034
20        46.5266159000      -120.4645803000    694449.2847072802   5155683.9932492459      1445.7928571345
21        46.5264195000      -120.4640576000    694490.0722208127   5155663.4592221063      1435.0466143465
43        46.5290677000      -120.4646717000    694433.5212704377   5155956.1911179144      1649.7535448329
22        46.5260071000      -120.4642940000    694473.4151336788   5155617.0541907027      1412.0072354131
25        46.5282784000      -120.4632334000    694546.6400232412   5155872.0361998351      1571.3590956922
58        46.5232101000      -120.4638006000    694521.2439804974   5155307.4917346472      1243.5300399248
26        46.5279092000      -120.4634953000    694527.8742048235   5155830.3681170847      1540.7908461818
36        46.5250170000      -120.4632779000    694554.8781024440   5155509.5476033054      1373.1852652684
27        46.5277482000      -120.4629077000    694573.5117124452   5155813.9280227087      1522.3356960468
28        46.5280726000      -120.4623966000    694611.5481329359   5155851.2330795657      1532.2725168128
35        46.5244867000      -120.4636953000    694524.7605617522   5155449.5961403362      1345.7478036031
29        46.5273849000      -120.4632614000    694547.6846894275   5155772.6890663663      1497.3990296642
30        46.5274403000      -120.4624626000    694608.7462296294   5155780.8145162361      1491.4072040313
34        46.5252824000      -120.4635485000    694533.1770766901   5155538.3694065390      1381.3276150535
31        46.5247475000      -120.4645607000    694457.4588417192   5155476.4409401771      1341.7030505687
32        46.5250289000      -120.4647616000    694441.0465609158   5155507.2126169037      1351.3062430412
17        46.5260860000      -120.4647869000    694435.3322726316   5155624.6061730850      1411.4980733965
50        46.5236273000      -120.4616772000    694682.6075759170   5155359.0840967679      1276.9508852537
16        46.5283012000      -120.4650034000    694410.8205704381   5155870.2068166314      1582.4073600956
1        46.5298137000      -120.4698377000    694034.6977316835   5156026.3628567960       991.7312758167
2        46.5286086000      -120.4698807000    694035.6941775291   5155892.3566202633       992.8096346256
54        46.5238040000      -120.4623295000    694631.9481796027   5155377.1083245743      1324.8915893673
3        46.5273239000      -120.4696653000    694056.7905785624   5155750.1414157357       989.1109060464
4        46.5262105000      -120.4695162000    694072.1926025066   5155626.7966073258       984.2957192095
5        46.5254529000      -120.4694697000    694078.4584633056   5155542.7329343911       995.0795426032
53        46.5241997000      -120.4623394000    694629.7748836591   5155421.0506871538      1342.1421292740
11        46.5285630000      -120.4653969000    694379.7093135322   5155898.3263124740      1604.2764817484
9        46.5221171000      -120.4664809000    694319.5768515455   5155179.4431329602      1001.2818333186
52        46.5244438000      -120.4617430000    694674.6426398903   5155449.6442139614      1342.1859526467
51        46.5241838000      -120.4612861000    694710.6134226560   5155421.8825897854      1306.1309822717
15        46.5285320000      -120.4657928000    694349.4592597293   5155893.9066048646      1568.2716690676
14        46.5294729000      -120.4656336000    694358.3097750644   5155998.8435621671      1607.5634759666
12        46.5295282000      -120.4649811000    694408.1502833839   5156006.5955623072      1686.4034339624
33        46.5250988000      -120.4639773000    694500.9470568190   5155516.9122809758      1371.7005792270
13        46.5287350000      -120.4656961000    694356.1504625138   5155916.7004318777      1585.3488221459
