   6.9434527e+05   5.1558542e+06
   6.9435199e+05   5.1558099e+06
   6.9435872e+05   5.1557480e+06
   6.9436007e+05   5.1557063e+06
   6.9436545e+05   5.1556498e+06
   6.9437890e+05   5.1556135e+06
   6.9439908e+05   5.1555744e+06
   6.9441522e+05   5.1555341e+06
   6.9442598e+05   5.1554964e+06
   6.9443540e+05   5.1554574e+06
   6.9443943e+05   5.1554049e+06
   6.9443674e+05   5.1553632e+06
   6.9443136e+05   5.1553175e+06
   6.9443136e+05   5.1553175e+06
   6.9441522e+05   5.1552892e+06
   6.9438832e+05   5.1552839e+06
   6.9436545e+05   5.1553081e+06
   6.9433989e+05   5.1553363e+06
   6.9431836e+05   5.1553579e+06
   6.9429818e+05   5.1553673e+06
   6.9426859e+05   5.1553740e+06
   6.9424168e+05   5.1553821e+06
   6.9422151e+05   5.1553713e+06
   6.9420267e+05   5.1553619e+06
   6.9418384e+05   5.1553458e+06
   6.9416904e+05   5.1553256e+06
   6.9414079e+05   5.1553067e+06
   6.9411658e+05   5.1553256e+06
   6.9410582e+05   5.1553686e+06
   6.9410178e+05   5.1554144e+06
   6.9410582e+05   5.1554601e+06
   6.9411254e+05   5.1555179e+06
   6.9411658e+05   5.1555637e+06
   6.9412196e+05   5.1556148e+06
   6.9412599e+05   5.1556511e+06
   6.9412330e+05   5.1556834e+06
   6.9413272e+05   5.1557251e+06
   6.9415155e+05   5.1557722e+06
   6.9417577e+05   5.1558125e+06
   6.9419460e+05   5.1558421e+06
   6.9423630e+05   5.1558690e+06
   6.9427397e+05   5.1558825e+06
   6.9430626e+05   5.1558865e+06
