1        46.5283582000      -120.4667914000    694273.5000000000   5155872.2000000002      1429.7074698613
2        46.5282788000      -120.4662543000    694315.0000000000   5155864.7000000002      1509.0430830680
3        46.5282528000      -120.4671993000    694242.6000000000   5155859.4000000004      1374.8036987717
4        46.5281667000      -120.4663367000    694309.1000000000   5155852.0000000000      1497.4597276822
5        46.5281717000      -120.4665884000    694289.7000000000   5155851.9000000004      1460.1403150435
6        46.5281396000      -120.4658735000    694344.7000000000   5155850.0999999996      1548.1020373251
7        46.5281154000      -120.4668433000    694270.4000000000   5155845.0000000000      1423.9014301488
8        46.5280997000      -120.4661669000    694322.3000000000   5155845.0000000000      1519.5540116266
9        46.5280294000      -120.4669906000    694259.4000000000   5155835.0999999996      1402.4087500550
10        46.5279883000      -120.4660337000    694332.9000000000   5155832.9000000004      1529.4572969021
12        46.5278690000      -120.4660045000    694335.6000000000   5155819.7000000002      1527.2737009076
13        46.5280507000      -120.4663792000    694306.2000000000   5155839.0000000000      1490.8174743409
14        46.5277001000      -120.4659378000    694341.3000000000   5155801.0999999996      1524.6010081931
15        46.5277918000      -120.4662038000    694320.6000000000   5155810.7000000002      1507.5287047950
16        46.5276182000      -120.4658907000    694345.2000000000   5155792.0999999996      1523.4370596746
17        46.5275217000      -120.4658828000    694346.2000000000   5155781.4000000004      1517.2291079586
18        46.5273933000      -120.4657754000    694354.9000000000   5155767.4000000004      1507.0759456674
20        46.5272481000      -120.4657040000    694360.9000000000   5155751.5000000000      1495.7036169549
21        46.5271363000      -120.4656657000    694364.2000000000   5155739.2000000002      1484.6524861608
22        46.5270128000      -120.4652239000    694398.5000000000   5155726.5000000000      1474.0624242712
23        46.5269864000      -120.4656266000    694367.7000000000   5155722.5999999996      1468.5774580663
25        46.5268652000      -120.4656232000    694368.4000000000   5155709.0999999996      1457.1575642346
26        46.5266988000      -120.4655020000    694378.3000000000   5155690.9000000004      1445.1372578940
27        46.5266946000      -120.4652094000    694400.8000000000   5155691.2000000002      1448.3338075880
28        46.5265515000      -120.4655297000    694376.7000000000   5155674.5000000000      1431.9116205227
30        46.5264383000      -120.4655254000    694377.4000000000   5155661.9000000004      1422.4063762204
31        46.5263249000      -120.4651244000    694408.6000000000   5155650.2999999998      1422.7703167985
32        46.5262910000      -120.4655290000    694377.7000000000   5155645.5999999996      1411.2575058252
33        46.5261454000      -120.4655384000    694377.5000000000   5155629.4000000004      1396.7796532811
34        46.5260080000      -120.4650622000    694414.5000000000   5155615.2999999998      1398.3610567846
35        46.5260073000      -120.4654893000    694381.7000000000   5155614.0999999996      1383.0838709433
36        46.5257922000      -120.4654370000    694386.5000000000   5155590.4000000004      1365.3855142753
37        46.5257573000      -120.4649769000    694421.9000000000   5155587.5999999996      1383.4737047628
38        46.5255906000      -120.4653985000    694390.2000000000   5155568.0999999996      1351.5948346891
39        46.5254570000      -120.4654196000    694389.1000000000   5155553.2000000002      1338.4023552392
40        46.5253461000      -120.4650617000    694416.9000000000   5155541.7000000002      1353.8874492796
41        46.5253264000      -120.4654122000    694390.1000000000   5155538.7000000002      1326.9608113001
42        46.5251281000      -120.4654584000    694387.3000000000   5155516.5000000000      1304.0377047939
103        46.5276410000      -120.4656370000    694364.5872543284   5155795.2900516475      1531.1460815034
105        46.5266200000      -120.4655300000    694376.4370916777   5155682.1088287048      1437.2429280727
106        46.5266200000      -120.4663700000    694312.0170614967   5155680.0398738757      1432.6500296178
