LON Z
-120.4657298201922 -4.0
-120.46628897388416 0.0
-120.46613935200882 -2.0
-120.46566934859756 0.0
-120.46551198025588 -5.999999999999999
-120.46580295527532 -26.0
-120.46592891716993 -8.0
-120.46509264703064 -18.0
-120.46616122116127 -2.0
-120.46577009684466 -5.999999999999999
-120.46622420256897 -11.999999999999998
-120.46568692108688 -4.0
-120.46617879097735 0.0
-120.4662149994943 0.0
-120.46605080906559 -40.0
-120.46609382515098 -38.0
-120.46558784551455 -10.0
-120.4660978927586 -14.0
-120.46578945462309 0.0
-120.46589544883425 0.0
-120.46563241816742 0.0
-120.46565824749686 0.0
-120.46570806394176 -26.0
-120.46569194173321 -2.0
-120.46584908868344 -8.0
-120.46589544883425 -2.0
-120.46602475729209 -5.999999999999999
-120.4665300194075 -34.0
-120.46613851533752 0.0
-120.46584513121365 0.0
-120.46567771649367 -26.0
-120.46572228924373 -11.999999999999998
-120.46611078949354 0.0
-120.46561211303192 0.0
-120.46679757675592 0.0
-120.46565344937419 -18.0
-120.46613935200882 0.0
-120.46603837414271 -54.0
-120.46618643702088 -2.0
-120.46612573386605 -32.0
-120.46609131515119 -38.0
-120.46627714400655 -4.0
-120.46584490507489 -4.0
-120.46555917278188 -8.0
-120.46624272527283 -2.0
-120.46596094010391 -57.99999999999999
-120.46590035537977 -5.999999999999999
-120.46599117541518 -38.0
-120.46571559501281 -2.0
-120.46575168823331 -23.999999999999996
-120.46552737314653 -11.999999999999998
-120.46576602547486 -4.0
-120.46571631990781 -2.0
-120.46621165289764 -2.0
-120.46626794112947 0.0
-120.46618811033638 0.0
-120.4658783733826 0.0
-120.46575168823331 -14.0
-120.46566767500872 -2.0
-120.46594420605494 -40.0
-120.4659558055378 -18.0
-120.4653296204439 -2.0
-120.46595603407079 -69.99999999999999
-120.46609896061739 0.0
-120.46605952119661 0.0
-120.46611162617502 0.0
-120.46550863299596 -8.0
-120.46535650870766 -5.999999999999999
-120.46579363833348 -2.0
-120.46621081624647 -2.0
-120.46604925098984 -36.0
-120.46568011518484 -2.0
-120.46621248954803 -2.0
-120.46584646506305 -2.0
-120.46540861149151 -2.0
-120.46621165289764 -2.0
-120.46593165530793 -5.999999999999999
-120.4657189421347 -2.0
-120.4660095822221 -8.0
-120.46631502643166 0.0
-120.46558951915807 -2.0
-120.4656296856411 0.0
-120.46562622717141 -2.0
-120.46620914294175 0.0
-120.46553657842313 -18.0
-120.46581539330457 -2.0
-120.46597265374753 -22.0
-120.4657551474425 -26.0
-120.46581394574902 -46.0
-120.46591050974394 -20.0
-120.46575252499679 -23.999999999999996
-120.46540861149151 -5.999999999999999
-120.46649823084329 -2.0
-120.46613493698084 -76.0
-120.46620997959451 0.0
-120.46588613130704 -20.0
-120.46577082088434 0.0
-120.46616373115663 0.0
-120.46563565437384 0.0
-120.46621081624647 -2.0
-120.46563732795853 -2.0
-120.46629984995215 0.0
-120.46614939200187 0.0
-120.46553886846519 -2.0
-120.46621750943335 -2.0
-120.46623770543415 -2.0
-120.46564067511832 -4.0
-120.46563074454059 -18.0
-120.46538256009919 -8.0
-120.46612250296131 -2.0
-120.46575419852134 -28.0
-120.46570962576209 -5.999999999999999
-120.4656036341043 0.0
-120.4657449940967 -14.0
-120.46569517686005 0.0
-120.46622933897228 -49.99999999999999
-120.4657457186481 0.0
-120.46576362725716 -10.0
-120.46611748292293 -16.0
-120.46546740889082 -16.0
-120.4656128387577 -2.0
-120.46566243134444 -2.0
-120.46583068065597 -14.0
-120.46538339695424 -4.0
-120.46577188282079 -23.999999999999996
-120.46576831069316 -2.0
-120.46615441195513 0.0
-120.46611413621464 0.0
-120.46680166040392 -4.0
-120.4653573455713 -8.0
-120.46571308466301 0.0
-120.46545820378576 -2.0
-120.46598554734487 -8.0
